position,title,authors,last week position,peak position,weeks on chart,chart_date
1,Ella Baila Sola,Eslabon Armado X Peso Pluma,1,1,9,2023-05-27
2,Cupid,Fifty Fifty,3,2,10,2023-05-27
3,La Bebe,Yng Lvcas x Peso Pluma,4,3,12,2023-05-27
4,Un x100to,Grupo Frontera X Bad Bunny,2,1,5,2023-05-27
5,Flowers,Miley Cyrus,5,1,18,2023-05-27
6,Calm Down,Rema & Selena Gomez,6,3,46,2023-05-27
7,All My Life,Lil Durk Featuring J. Cole,0,7,1,2023-05-27
8,Die For You,The Weeknd & Ariana Grande,8,2,63,2023-05-27
9,Idol,YOASOBI,10,9,5,2023-05-27
10,Last Night,Morgan Wallen,9,5,16,2023-05-27
11,Kill Bill,SZA,7,1,23,2023-05-27
12,Daylight,David Kushner,11,11,5,2023-05-27
13,Acrostico,Shakira,0,13,1,2023-05-27
14,As It Was,Harry Styles,13,1,59,2023-05-27
15,Tattoo,Loreen,0,15,1,2023-05-27
16,TQG,Karol G x Shakira,12,1,12,2023-05-27
17,Anti-Hero,Taylor Swift,15,1,30,2023-05-27
18,Classy 101,Feid x Young Miko,17,17,7,2023-05-27
19,Creepin',"Metro Boomin, The Weeknd & 21 Savage",18,3,24,2023-05-27
20,People,Libianca,22,20,18,2023-05-27
21,I'm Good (Blue),David Guetta & Bebe Rexha,21,2,38,2023-05-27
22,Por Las Noches,Peso Pluma,16,14,12,2023-05-27
23,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,20,3,15,2023-05-27
24,Until I Found You,Stephen Sanchez,24,11,53,2023-05-27
25,PRC,Peso Pluma X Natanael Cano,19,15,16,2023-05-27
26,El Azul,Junior H x Peso Pluma,27,23,10,2023-05-27
27,Cha Cha Cha,Kaarija,0,27,1,2023-05-27
28,Golden Hour,JVKE,30,13,38,2023-05-27
29,I Ain't Worried,OneRepublic,34,5,50,2023-05-27
30,Fast Car,Luke Combs,28,28,8,2023-05-27
31,Beso,Rosalia & Rauw Alejandro,25,10,8,2023-05-27
32,Eyes Closed,Ed Sheeran,14,14,8,2023-05-27
33,Yandel 150,Yandel & Feid,29,13,19,2023-05-27
34,Save Your Tears,The Weeknd & Ariana Grande,33,1,124,2023-05-27
35,Unholy,Sam Smith & Kim Petras,31,1,34,2023-05-27
36,Unforgiven,LE SSERAFIM Featuring Nile Rodgers,23,23,3,2023-05-27
37,See You Again,"Tyler, The Creator Featuring Kali Uchis",35,35,5,2023-05-27
38,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",26,20,19,2023-05-27
39,Like Crazy,Jimin,37,2,8,2023-05-27
40,Another Love,Tom Odell,39,14,107,2023-05-27
41,Fragil,Yahritza y Su Esencia x Grupo Frontera,52,41,5,2023-05-27
42,Search & Rescue,Drake,36,2,6,2023-05-27
43,Flower,Jisoo,32,2,7,2023-05-27
44,Sure Thing,Miguel,43,13,22,2023-05-27
