position,title,authors,last week position,peak position,weeks on chart
121,Ditto,NewJeans,102,8,21
122,Yellow,Coldplay,133,68,109
123,Snap,Rosa Linn,125,18,44
124,Set Fire To The Rain,Adele,131,64,20
125,Boat,Ed Sheeran,0,125,1
126,M.A (Mejores Amigos),BM,127,81,5
127,Easy On Me,Adele,128,1,83
128,La Jumpa,Arcangel & Bad Bunny,116,14,23
129,Ceilings,Lizzy McAlpine,104,29,12
130,Cardigan,Taylor Swift,145,77,14
131,Chorrito Pa Las Animas,Feid,153,82,18
132,Shut Up My Moms Calling,Hotel Ugly,123,64,23
133,No Role Modelz,J. Cole,126,97,96
134,Igualito A Mi Apa,Fuerza Regida & Peso Pluma,121,118,4
135,Lovely,Billie Eilish & Khalid,135,70,140
136,Sunroof,Nicky Youre & dazy,141,26,51
137,Riptide,Vance Joy,124,100,87
138,Take Me To Church,Hozier,130,115,111
139,Wasted On You,Morgan Wallen,162,19,63
140,Wish You The Best,Lewis Capaldi,87,87,4
141,Shorty Party,Cartel de Santa Featuring La Kelly,122,25,10
142,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,160,23,13
143,Provenza,Karol G,136,6,55
144,Without Me,Eminem,132,39,83
145,Nosso Quadro,Ana Castela,147,95,11
146,Nina Bonita,Feid & Sean Paul,172,146,3
147,No Se Va,Grupo Frontera,146,31,33
148,Fin de Semana,Junior H X Oscar Maydon,92,58,17
149,Area Codes,Kali,0,149,1
150,Circles,Post Malone,149,49,136
151,Counting Stars,OneRepublic,139,96,111
152,Shallow,Lady Gaga & Bradley Cooper,144,59,137
153,X Si Volvemos,Karol G x Romeo Santos,148,18,14
154,Jimmy Cooks,Drake Featuring 21 Savage,161,3,47
155,Baby Shark,Pinkfong,193,38,139
156,Watermelon Sugar,Harry Styles,157,9,136
157,One Thing At A Time,Morgan Wallen,154,24,12
158,Everybody Wants To Rule The World,Tears For Fears,142,108,41
159,Peaches,Jack Black,100,48,5
160,Spicy,aespa,0,160,1
161,Thinking Out Loud,Ed Sheeran,171,103,75
162,Thunder,Imagine Dragons,164,162,49
163,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,158,135,26
164,Dandelions,Ruth B.,150,51,69
165,Wait For U,Future Featuring Drake & Tems,165,2,54
166,Gangsta's Paradise,Coolio Featuring L.V.,163,21,95
167,Cupido,TINI,151,69,12
168,Don't Blame Me,Taylor Swift,177,124,17
169,Despecha,Rosalia,155,6,41
170,Kitsch,IVE,134,59,6
171,Normal,Feid,191,75,29
172,Every Breath You Take,The Police,173,107,44
173,Rush,Ayra Starr,166,115,16
174,Don't Stop Believin',Journey,187,125,101
175,Lover,Taylor Swift,181,173,7
176,Sweet Child O' Mine,Guns N' Roses,169,57,104
177,Ghost,Justin Bieber,182,16,81
178,In Da Club,50 Cent,185,44,56
179,Go Hard,Lil Baby,0,179,1
180,When I Was Your Man,Bruno Mars,174,74,33
181,Something Just Like This,The Chainsmokers & Coldplay,196,102,109
182,Thought You Should Know,Morgan Wallen,180,32,19
183,Dreams,Fleetwood Mac,170,10,114
184,Smells Like Teen Spirit,Nirvana,188,92,114
185,Rosa Pastel,Peso Pluma & Jasiel Nunez,168,163,3
186,Dance Monkey,Tones And I,186,16,134
187,Dog Days Are Over,Florence + The Machine,0,187,1
188,Hotel California,Eagles,167,132,108
189,Rara Vez,Milo j,156,98,9
190,Shoong!,TAEYANG Featuring LISA Of BLACKPINK,143,143,2
191,Enemy,Imagine Dragons X JID,183,3,80
192,Moscow Mule,Bad Bunny,0,2,50
193,Lose Yourself,Eminem,0,25,56
194,Efecto,Bad Bunny,198,7,53
195,All Of The Girls You Loved Before,Taylor Swift,179,10,8
196,Nonsense,Sabrina Carpenter,195,36,17
197,The Kind Of Love We Make,Luke Combs,0,38,42
198,Di Que Si,Grupo Marca Registrada X Grupo Frontera,199,152,5
199,We Found Love,Rihanna Featuring Calvin Harris,190,47,13
200,Wake Me Up!,Avicii,200,154,42
