position,title,authors,last week position,peak position,weeks on chart,chart_date
124,Un Finde   Crossover #2,Ke personajes X Big One X FMK,117,84,7,2023-06-03
125,Lavender Haze,Taylor Swift,103,2,31,2023-06-03
126,Dog Days Are Over,Florence + The Machine,119,119,3,2023-06-03
127,No Role Modelz,J. Cole,123,97,98,2023-06-03
128,Rock And A Hard Place,Bailey Zimmerman,86,59,48,2023-06-03
129,Las Morras,Peso Pluma & Blessd,124,97,5,2023-06-03
130,Trance,"Metro Boomin, Travis Scott & Young Thug",120,42,15,2023-06-03
131,Riptide,Vance Joy,145,100,89,2023-06-03
132,Snap,Rosa Linn,121,18,46,2023-06-03
133,Easy On Me,Adele,134,1,85,2023-06-03
134,Bad Habit,Steve Lacy,130,8,46,2023-06-03
135,Just Wanna Rock,Lil Uzi Vert,128,26,32,2023-06-03
136,Watermelon Sugar,Harry Styles,152,9,138,2023-06-03
137,Without Me,Eminem,146,39,85,2023-06-03
138,Queen Of Kings,Alessandra,58,58,2,2023-06-03
139,Set Fire To The Rain,Adele,125,64,22,2023-06-03
140,Bite Me,ENHYPEN,0,140,1,2023-06-03
141,Life Goes On,Ed Sheeran Featuring Luke Combs,95,95,2,2023-06-03
142,Circles,Post Malone,155,49,138,2023-06-03
143,Shut Up My Moms Calling,Hotel Ugly,138,64,25,2023-06-03
144,Lovely,Billie Eilish & Khalid,133,70,142,2023-06-03
145,Nosso Quadro,Ana Castela,140,95,13,2023-06-03
146,Rich Flex,Drake & 21 Savage,129,1,29,2023-06-03
147,Enchanted,Taylor Swift,127,55,8,2023-06-03
148,Feliz Cumpleanos Ferxxo,Feid,142,61,38,2023-06-03
149,Sunroof,Nicky Youre & dazy,148,26,53,2023-06-03
150,Thunder,Imagine Dragons,163,150,51,2023-06-03
151,Wasted On You,Morgan Wallen,149,19,65,2023-06-03
152,Take Me To Church,Hozier,143,115,113,2023-06-03
153,La Jumpa,Arcangel & Bad Bunny,150,14,25,2023-06-03
154,Counting Stars,OneRepublic,154,96,113,2023-06-03
155,Mientras Me Curo del Cora,Karol G,132,40,13,2023-06-03
156,Jimmy Cooks,Drake Featuring 21 Savage,156,3,49,2023-06-03
157,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,153,23,15,2023-06-03
158,M.A (Mejores Amigos),BM,131,81,7,2023-06-03
159,Dreams,Fleetwood Mac,175,10,116,2023-06-03
160,One Thing At A Time,Morgan Wallen,182,24,14,2023-06-03
161,Don't Blame Me,Taylor Swift,161,124,19,2023-06-03
162,Gangsta's Paradise,Coolio Featuring L.V.,167,21,97,2023-06-03
163,Shallow,Lady Gaga & Bradley Cooper,159,59,139,2023-06-03
164,Every Breath You Take,The Police,170,107,46,2023-06-03
165,Something Just Like This,The Chainsmokers & Coldplay,162,102,111,2023-06-03
166,Dandelions,Ruth B.,165,51,71,2023-06-03
167,Made You Look,Meghan Trainor,139,6,31,2023-06-03
168,10:35,Tiesto Featuring Tate McRae,137,38,26,2023-06-03
169,Slut Me Out,NLE Choppa,135,48,8,2023-06-03
170,Have You Ever Seen The Rain,Creedence Clearwater Revival,0,170,1,2023-06-03
171,Provenza,Karol G,160,6,57,2023-06-03
172,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,173,135,28,2023-06-03
173,Wait For U,Future Featuring Drake & Tems,171,2,56,2023-06-03
174,Baby Shark,Pinkfong,0,38,140,2023-06-03
175,The Best,Tina Turner,0,175,1,2023-06-03
176,Chorrito Pa Las Animas,Feid,144,82,20,2023-06-03
177,Ditto,NewJeans,151,8,23,2023-06-03
178,Ceilings,Lizzy McAlpine,147,29,14,2023-06-03
179,Lover,Taylor Swift,166,166,9,2023-06-03
180,Sweet Child O' Mine,Guns N' Roses,174,57,106,2023-06-03
181,Igualito A Mi Apa,Fuerza Regida & Peso Pluma,164,118,6,2023-06-03
182,Cartao Black,MC Caverinha E KayBlack,0,182,1,2023-06-03
183,Utsukushii Hire,Spitz,192,183,2,2023-06-03
184,What It Is (Block Boy),Doechii Featuring Kodak Black,0,184,1,2023-06-03
185,Danza Kuduro,Don Omar & Lucenzo,0,185,1,2023-06-03
186,No Se Va,Grupo Frontera,179,31,35,2023-06-03
187,Hotel California,Eagles,168,132,110,2023-06-03
188,In Da Club,50 Cent,183,44,58,2023-06-03
189,Don't Stop Believin',Journey,178,125,103,2023-06-03
190,What's Love Got To Do With It,Tina Turner,0,190,1,2023-06-03
191,Wake Me Up!,Avicii,197,154,44,2023-06-03
192,Lose Yourself,Eminem,189,25,58,2023-06-03
193,Rush,Ayra Starr,177,115,18,2023-06-03
194,A Sky Full Of Stars,Coldplay,190,190,2,2023-06-03
195,Normal,Feid,184,75,31,2023-06-03
196,Smells Like Teen Spirit,Nirvana,187,92,116,2023-06-03
197,Ghost,Justin Bieber,186,16,83,2023-06-03
198,Somewhere Only We Know,Keane,199,186,5,2023-06-03
199,When I Was Your Man,Bruno Mars,176,74,35,2023-06-03
200,X Si Volvemos,Karol G x Romeo Santos,172,18,16,2023-06-03
