position,title,authors,last week position,peak position,weeks on chart,chart_date
1,Where She Goes,Bad Bunny,0,1,1,2023-06-03
2,Ella Baila Sola,Eslabon Armado X Peso Pluma,1,1,10,2023-06-03
3,Cupid,Fifty Fifty,2,2,11,2023-06-03
4,La Bebe,Yng Lvcas x Peso Pluma,3,3,13,2023-06-03
5,Flowers,Miley Cyrus,5,1,19,2023-06-03
6,Un x100to,Grupo Frontera X Bad Bunny,4,1,6,2023-06-03
7,Calm Down,Rema & Selena Gomez,6,3,47,2023-06-03
8,Last Night,Morgan Wallen,10,5,17,2023-06-03
9,Die For You,The Weeknd & Ariana Grande,8,2,64,2023-06-03
10,Idol,YOASOBI,9,9,6,2023-06-03
11,Kill Bill,SZA,11,1,24,2023-06-03
12,Acrostico,Shakira,13,12,2,2023-06-03
13,Daylight,David Kushner,12,11,6,2023-06-03
14,All My Life,Lil Durk Featuring J. Cole,7,7,2,2023-06-03
15,As It Was,Harry Styles,14,1,60,2023-06-03
16,"Angel, Pt. 1","Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long",0,16,1,2023-06-03
17,TQG,Karol G x Shakira,16,1,13,2023-06-03
18,Say Yes To Heaven,Lana Del Rey,0,18,1,2023-06-03
19,TQM,Fuerza Regida,0,19,1,2023-06-03
20,Classy 101,Feid x Young Miko,18,17,8,2023-06-03
21,Anti-Hero,Taylor Swift,17,1,31,2023-06-03
22,I'm Good (Blue),David Guetta & Bebe Rexha,21,2,39,2023-06-03
23,People,Libianca,20,20,19,2023-06-03
24,Creepin',"Metro Boomin, The Weeknd & 21 Savage",19,3,25,2023-06-03
25,Favorite Song,Toosii,47,25,14,2023-06-03
26,Tattoo,Loreen,15,15,2,2023-06-03
27,Until I Found You,Stephen Sanchez,24,11,54,2023-06-03
28,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,23,3,16,2023-06-03
29,Fast Car,Luke Combs,30,28,9,2023-06-03
30,Por Las Noches,Peso Pluma,22,14,13,2023-06-03
31,PRC,Peso Pluma X Natanael Cano,25,15,17,2023-06-03
32,El Azul,Junior H x Peso Pluma,26,23,11,2023-06-03
33,Save Your Tears,The Weeknd & Ariana Grande,34,1,125,2023-06-03
34,I Ain't Worried,OneRepublic,29,5,51,2023-06-03
35,Beso,Rosalia & Rauw Alejandro,31,10,9,2023-06-03
36,Golden Hour,JVKE,28,13,39,2023-06-03
37,Fragil,Yahritza y Su Esencia x Grupo Frontera,41,37,6,2023-06-03
38,Queencard,(G)I-DLE,157,38,2,2023-06-03
39,Yandel 150,Yandel & Feid,33,13,20,2023-06-03
40,America Has A Problem,Beyonce Featuring Kendrick Lamar,0,40,2,2023-06-03
41,Unholy,Sam Smith & Kim Petras,35,1,35,2023-06-03
42,Eyes Closed,Ed Sheeran,32,14,9,2023-06-03
43,Another Love,Tom Odell,40,14,108,2023-06-03
44,Mourning,Post Malone,0,44,1,2023-06-03
45,Chemical,Post Malone,45,16,6,2023-06-03
46,See You Again,"Tyler, The Creator Featuring Kali Uchis",37,35,6,2023-06-03
47,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",38,20,20,2023-06-03
48,Cruel Summer,Taylor Swift,49,48,10,2023-06-03
49,Search & Rescue,Drake,42,2,7,2023-06-03
50,Heat Waves,Glass Animals,63,1,125,2023-06-03
51,Miracle,Calvin Harris & Ellie Goulding,46,46,11,2023-06-03
52,Blinding Lights,The Weeknd,48,2,142,2023-06-03
53,Sure Thing,Miguel,44,13,23,2023-06-03
54,Unforgiven,LE SSERAFIM Featuring Nile Rodgers,36,23,4,2023-06-03
55,Something In The Orange,Zach Bryan,53,23,56,2023-06-03
56,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",57,56,7,2023-06-03
57,Like Crazy,Jimin,39,2,9,2023-06-03
58,Area Codes,Kali,61,58,3,2023-06-03
59,Flower,Jisoo,43,2,8,2023-06-03
60,Snooze,SZA,59,27,24,2023-06-03
61,Perfect,Ed Sheeran,52,30,142,2023-06-03
62,I Am,IVE,50,21,7,2023-06-03
63,Escapism,RAYE Featuring 070 Shake,51,7,26,2023-06-03
64,Players,Coi Leray,54,17,20,2023-06-03
65,Chanel,Becky G & Peso Pluma,60,46,7,2023-06-03
66,Levitating,Dua Lipa,66,2,138,2023-06-03
67,La Bachata,Manuel Turizo,64,6,46,2023-06-03
68,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,55,2,20,2023-06-03
69,Starboy,The Weeknd Featuring Daft Punk,65,34,99,2023-06-03
70,Under The Influence,Chris Brown,67,3,44,2023-06-03
71,Thinkin' Bout Me,Morgan Wallen,75,21,12,2023-06-03
72,Shivers,Ed Sheeran,68,3,89,2023-06-03
73,Cha Cha Cha,Kaarija,27,27,2,2023-06-03
74,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,107,41,142,2023-06-03
75,Creep,Radiohead,56,56,3,2023-06-03
76,Stay,The Kid LAROI & Justin Bieber,72,1,98,2023-06-03
77,Blank Space,Taylor Swift,80,77,41,2023-06-03
78,Angels Like You,Miley Cyrus,87,78,5,2023-06-03
79,Spicy,aespa,70,70,3,2023-06-03
80,Que Vuelvas,Carin Leon X Grupo Frontera,79,34,22,2023-06-03
81,Someone You Loved,Lewis Capaldi,83,24,142,2023-06-03
82,Moonlight,Kali Uchis,74,74,10,2023-06-03
83,Cold Heart (PNAU Remix),Elton John & Dua Lipa,76,3,93,2023-06-03
84,Abcdario,Eden Munoz X Junior H,188,84,2,2023-06-03
85,Me Porto Bonito,Bad Bunny & Chencho Corleone,85,2,55,2023-06-03
86,Cuff It,Beyonce,71,12,43,2023-06-03
87,Viva La Vida,Coldplay,89,87,40,2023-06-03
88,Wish You The Best,Lewis Capaldi,116,87,6,2023-06-03
89,El Gordo Trae El Mando,Chino Pacas,77,44,15,2023-06-03
90,OMG,NewJeans,69,10,21,2023-06-03
91,Coco Chanel,Eladio Carrion & Bad Bunny,99,22,10,2023-06-03
92,Money Trees,Kendrick Lamar Featuring Jay Rock,94,92,8,2023-06-03
93,Mockingbird,Eminem,73,42,32,2023-06-03
94,Yellow,Coldplay,92,68,111,2023-06-03
95,Amargura,Karol G,0,95,1,2023-06-03
96,Karma,Taylor Swift,102,10,12,2023-06-03
97,Believer,Imagine Dragons,91,52,142,2023-06-03
98,You Proof,Morgan Wallen,82,22,54,2023-06-03
99,Sweater Weather,The Neighbourhood,93,25,139,2023-06-03
100,Hey Mor,Ozuna Featuring Feid,84,27,32,2023-06-03
101,Take On Me,a-ha,110,95,82,2023-06-03
102,I Wanna Be Yours,Arctic Monkeys,104,71,38,2023-06-03
103,Bebe Dame,Fuerza Regida X Grupo Frontera,81,17,21,2023-06-03
104,Titi Me Pregunto,Bad Bunny,100,4,55,2023-06-03
105,Here With Me,d4vd,101,34,28,2023-06-03
106,Style,Taylor Swift,115,106,10,2023-06-03
107,Bad Habits,Ed Sheeran,105,1,100,2023-06-03
108,Bones,Imagine Dragons,106,32,63,2023-06-03
109,Shape Of You,Ed Sheeran,98,55,142,2023-06-03
110,Ojitos Lindos,Bad Bunny & Bomba Estereo,96,4,55,2023-06-03
111,Cardigan,Taylor Swift,112,77,16,2023-06-03
112,Ch y La Pizza,Fuerza Regida X Natanael Cano,97,39,16,2023-06-03
113,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,113,89,42,2023-06-03
114,El Merengue,Marshmello & Manuel Turizo,122,103,11,2023-06-03
115,Super,SEVENTEEN,88,37,5,2023-06-03
116,Mathematical Disrespect,Lil Mabu,78,78,2,2023-06-03
117,Everybody Wants To Rule The World,Tears For Fears,141,108,43,2023-06-03
118,Princess Diana,Ice Spice & Nicki Minaj,90,11,6,2023-06-03
119,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,108,1,46,2023-06-03
120,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",109,8,25,2023-06-03
121,Unstoppable,Sia,111,79,67,2023-06-03
122,Fin de Semana,Junior H X Oscar Maydon,118,58,19,2023-06-03
123,Shake It Off,Taylor Swift,126,115,10,2023-06-03
